Timestamp,X,Y,Z
3.57778,-0.07,0.04,1.0
3.689035,-0.07,0.04,1.0
3.798738,-0.07,0.04,1.0
3.914471,-0.07,0.04,1.0
4.025732,-0.07,0.04,1.0
4.122581,-0.07,0.04,1.0
4.233975,-0.07,0.04,1.0
4.343078,-0.07,0.04,1.0
4.458416,-0.07,0.04,1.0
4.568408,-0.07,0.04,1.0
4.682388,-0.07,0.04,1.01
4.778535,-0.08,0.04,1.0
4.890873,-0.07,0.04,1.01
5.004646,-0.07,0.04,1.01
